	precision	recall	f1-score	support
0	0.9922178988326849	0.6746031746031746	0.8031496062992126	378.0
1	0.7535070140280561	0.9947089947089947	0.8574686431014822	378.0
accuracy	0.8346560846560847	0.8346560846560847	0.8346560846560847	0.8346560846560847
macro avg	0.8728624564303704	0.8346560846560847	0.8303091247003473	756.0
weighted avg	0.8728624564303704	0.8346560846560847	0.8303091247003473	756.0
