	precision	recall	f1-score	support
0	0.5032677995038279	0.9997350431879604	0.6695056602434437	18871.0
1	0.9803921568627451	0.013247840601981876	0.026142423925546374	18871.0
accuracy	0.5064914418949711	0.5064914418949711	0.5064914418949711	0.5064914418949711
macro avg	0.7418299781832864	0.5064914418949711	0.347824042084495	37742.0
weighted avg	0.7418299781832866	0.5064914418949711	0.3478240420844951	37742.0
