	precision	recall	f1-score	support
0	0.9395348837209302	0.8951255539143279	0.9167927382753404	677.0
1	0.8998589562764457	0.9423929098966026	0.9206349206349206	677.0
accuracy	0.9187592319054653	0.9187592319054653	0.9187592319054653	0.9187592319054653
macro avg	0.919696919998688	0.9187592319054653	0.9187138294551305	1354.0
weighted avg	0.9196969199986877	0.9187592319054653	0.9187138294551304	1354.0
