	precision	recall	f1-score	support
0	0.9893912191937326	1.0	0.994667322996144	6062.0
1	1.0	0.989277466182778	0.9946098349780247	6062.0
accuracy	0.994638733091389	0.994638733091389	0.994638733091389	0.994638733091389
macro avg	0.9946956095968663	0.9946387330913891	0.9946385789870844	12124.0
weighted avg	0.9946956095968663	0.994638733091389	0.9946385789870844	12124.0
