	precision	recall	f1-score	support
0	0.9854166666666667	0.6986706056129985	0.8176318063958513	677.0
1	0.7665903890160183	0.9896602658788775	0.8639587362991619	677.0
accuracy	0.8441654357459379	0.8441654357459379	0.8441654357459379	0.8441654357459379
macro avg	0.8760035278413425	0.844165435745938	0.8407952713475066	1354.0
weighted avg	0.8760035278413425	0.8441654357459379	0.8407952713475066	1354.0
