	precision	recall	f1-score	support
0	0.9272237196765498	0.5900514579759862	0.7211740041928721	583.0
1	0.6993710691823899	0.9536878216123499	0.8069666182873729	583.0
accuracy	0.7718696397941681	0.7718696397941681	0.7718696397941681	0.7718696397941681
macro avg	0.8132973944294699	0.771869639794168	0.7640703112401226	1166.0
weighted avg	0.8132973944294698	0.7718696397941681	0.7640703112401226	1166.0
