	precision	recall	f1-score	support
0	0.9956112279418488	0.9781710384477182	0.9868140831029951	11132.0
1	0.9785468349960272	0.9956881063600431	0.9870430562358075	11132.0
accuracy	0.9869295724038807	0.9869295724038807	0.9869295724038807	0.9869295724038807
macro avg	0.9870790314689379	0.9869295724038807	0.9869285696694012	22264.0
weighted avg	0.9870790314689379	0.9869295724038807	0.9869285696694015	22264.0
