	precision	recall	f1-score	support
0	0.996636394214598	0.9775651600131969	0.9870086608927381	6062.0
1	0.9779864033667853	0.9967007588254702	0.9872549019607842	6062.0
accuracy	0.9871329594193335	0.9871329594193335	0.9871329594193335	0.9871329594193335
macro avg	0.9873113987906916	0.9871329594193335	0.9871317814267612	12124.0
weighted avg	0.9873113987906917	0.9871329594193335	0.9871317814267611	12124.0
