	precision	recall	f1-score	support
0	0.7288135593220338	0.91005291005291	0.8094117647058823	378.0
1	0.8802816901408451	0.6613756613756614	0.7552870090634443	378.0
accuracy	0.7857142857142857	0.7857142857142857	0.7857142857142857	0.7857142857142857
macro avg	0.8045476247314395	0.7857142857142857	0.7823493868846633	756.0
weighted avg	0.8045476247314395	0.7857142857142857	0.7823493868846634	756.0
