	precision	recall	f1-score	support
0	0.9962910128388017	0.9988558352402745	0.9975717754606485	3496.0
1	0.9988528821336392	0.9962814645308925	0.9975655162537591	3496.0
accuracy	0.9975686498855835	0.9975686498855835	0.9975686498855835	0.9975686498855835
macro avg	0.9975719474862205	0.9975686498855836	0.9975686458572037	6992.0
weighted avg	0.9975719474862204	0.9975686498855835	0.9975686458572038	6992.0
