	precision	recall	f1-score	support
0	0.2631578947368421	0.22727272727272727	0.24390243902439024	44.0
1	0.32	0.36363636363636365	0.3404255319148936	44.0
accuracy	0.29545454545454547	0.29545454545454547	0.29545454545454547	0.29545454545454547
macro avg	0.29157894736842105	0.29545454545454547	0.29216398546964195	88.0
weighted avg	0.29157894736842105	0.29545454545454547	0.2921639854696419	88.0
