	precision	recall	f1-score	support
0	0.5069752439319409	0.9994700863759207	0.6727181938153153	18871.0
1	0.9814471243042672	0.028032430713793653	0.05450798557444616	18871.0
accuracy	0.5137512585448571	0.5137512585448571	0.5137512585448571	0.5137512585448571
macro avg	0.744211184118104	0.5137512585448571	0.3636130896948807	37742.0
weighted avg	0.744211184118104	0.5137512585448571	0.3636130896948807	37742.0
